Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
54,Meta Minority: 200 players,2.6558447392696616,0.48807435528210497,118.0,0.0,0.1278719765733345,0.3586201317598264,0.3412759818366208,0.17223190983021835,0.15848676948546617,1.0,0.004032258064516129,0.997345145316193
55,Meta Winner Deterministic: 138 players,2.654729766327982,0.10025412240592459,182.0,1.0,0.08338757042330261,0.017763949691581526,0.31879802965114473,0.5800504502339712,0,0,0,0
56,PSO Gambler 1_1_1,2.6530148917580667,0.7738673440339852,24.0,1.0,0.706525880508089,0.068325714383302,0.09600651786230906,0.1291418872463,1.0,0.32527137729668976,0,0.12688260195659193
57,Adaptive Pavlov 2011,2.649323649914833,0.784508163033308,21.0,1.0,0.717584353135111,0.06588072288652456,0.0770049549243102,0.13952996905405418,0.9796223813519231,0.20717857866977352,0.5884947828635269,0.03185535370946848
58,Weiner,2.6490200365311187,0.8353921572869387,7.0,1.0,0.766899104519723,0.06595017722366786,0.05523960814215183,0.1119111101144573,0.9998535848053125,0.22297282359906925,0.8196823173062239,0.007408535432177372
59,Hard Tit For Tat,2.6473547443515173,0.7273716701276878,36.5,1.0,0.6830400937826586,0.04270364385150511,0.08221020247238563,0.19204605989345078,1.0,0,0.21197412598793086,0
60,Cycler DC,2.6464567486463935,0.47399763517145005,116.0,0.0,0.1608687497618334,0.31286299133056256,0.3238142580738325,0.2024540008337715,0,0,1.0,1.0
61,GraaskampKatzen,2.646131311502878,0.8081517338649997,6.0,1.0,0.7300017734377336,0.0758154766593268,0.07535809052392248,0.11882465937901705,0.9978077083682639,0,0.8357664853566632,0
62,TF3,2.6460706685658373,0.7436812969900076,27.0,1.0,0.6834101209200113,0.06141613013381061,0.10393519336373556,0.15123855558244262,0.9557049279598886,0.6523161916024903,0.4749543865069589,0.06313001378401445
63,Soft Grudger,2.646037322048649,0.8152370046498716,23.0,1.0,0.7301351145308862,0.08267793456557208,0.07134046087859378,0.11584649002494797,1.0,0.32304372130492376,0.30142180306004884,0.2855081144172674
64,"Gradual Killer: (D, D, D, D, D, C, C)",2.6459137692724415,0.38306115592863904,139.5,0.0,0.25149156216466617,0.13022869597175893,0.20639586577075184,0.4118838760928231,1.0,0.7816683277249776,0.1428938501845233,0.17787429457174825
