Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
39,Grudger,2.6875217391304353,0.5579008695652173,72.0,1.0,0.5554704347826086,0.002430434782608698,0.14503369565217397,0.2970654347826087,1.0,0,0,0
40,Cave,2.6786304347826104,0.7979580434782608,24.0,1.0,0.7581445652173913,0.03981347826086958,0.050505000000000015,0.1515369565217391,0.9988661031243475,0.3985816118299479,0.7599880911380941,0.11994005295842224
41,Level Punisher,2.6681413043478264,0.7299904347826087,42.0,1.0,0.705574347826087,0.024416086956521726,0.07027608695652172,0.19973347826086962,0.9894775564065297,0.8816526966891302,0.09770449296017313,0
42,Shubik,2.666032608695652,0.6893647826086956,52.0,1.0,0.6709130434782609,0.018451739130434765,0.0857639130434783,0.22487130434782607,1.0,0,0.5062325246374928,0
43,Weiner,2.665489130434783,0.7536282608695652,37.0,1.0,0.7303165217391306,0.023311739130434755,0.05700021739130435,0.18937152173913036,0.9996126067603347,0.23011498767012117,0.6662360010362135,0.015152964019912693
44,Davis: 10,2.660836956521739,0.5732952173913044,65.5,1.0,0.5624376086956522,0.01085760869565216,0.13669673913043476,0.2900080434782608,0.9756524482854064,0.8384343627026042,0,0
45,MoreGrofman,2.6514673913043474,0.7427865217391304,42.0,1.0,0.7203269565217392,0.022459565217391276,0.05818608695652174,0.1990273913043478,0.9883467988736447,0.7401041704993877,0.30971361102410305,0.035035607190305414
46,Mikkelson,2.6481630434782604,0.7941578260869565,26.0,1.0,0.7562595652173913,0.03789826086956525,0.04317804347826087,0.16266413043478262,1.0,0.7577892616632624,0.4058262086767821,0.14378805105815612
47,"Stein and Rapoport: 0.05: (D, D)",2.6462173913043476,0.7550682608695652,181.0,1.0,0.7196215217391304,0.03544673913043475,0.06063478260869564,0.18429695652173925,0.9933077227259819,0.37717660409859943,0.6922505049187315,0
48,WmAdams,2.6462065217391304,0.7770821739130435,15.0,1.0,0.7263923913043479,0.05068978260869566,0.060976304347826076,0.1619415217391304,1.0,0.47417489601714014,0.7120711453864901,0.2829122412314133
49,"ZD-GTFT-2: 0.25, 0.5",2.6423478260869566,0.8538771739130435,0.0,1.0,0.7734463043478261,0.08043086956521735,0.04403108695652171,0.10209173913043477,1.0,0.12437782652513642,1.0,0.25176219266766464
50,GTFT: 0.1,2.640706521739131,0.8271815217391304,0.0,1.0,0.7602821739130433,0.06689934782608695,0.04652978260869565,0.1262886956521739,1.0,0.1017305808421625,1.0,0.0985392122601013
51,Soft Joss: 0.9,2.639445652173913,0.8273669565217391,0.0,1.0,0.7607454347826087,0.06662152173913043,0.046313043478260874,0.12631999999999993,1.0,0.0992272258467607,1.0,0.10124844142821267
52,"Limited Retaliate 3: 0.05, 20",2.636728260869565,0.6246106521739131,67.0,1.0,0.6064706521739129,0.01813999999999998,0.11064086956521738,0.26474847826086956,0.9342471888327402,0,0.06443337952545788,0.05523543770933883
53,More Tideman and Chieruzzi,2.635163043478261,0.7743139130434783,37.0,1.0,0.7224030434782608,0.051910869565217434,0.0602680434782609,0.16541804347826092,1.0,0.31079787726848956,0.6335804082980343,0.15417651115293488
54,Soft Grudger,2.6348260869565214,0.8092986956521739,38.0,1.0,0.7299621739130434,0.0793365217391305,0.06337282608695655,0.12732847826086963,1.0,0.43223890486034805,0.2958867291724381,0.31199073236153557
55,"General Soft Grudger: n=1,d=4,c=2",2.633934782608696,0.8090873913043478,38.0,1.0,0.7296386956521738,0.07944869565217394,0.0633845652173913,0.12752804347826094,1.0,0.4320487846639659,0.2952675801864801,0.3115160478914981
